id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,262,2019-06-28,2.09,1,107
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36509,4.89354,Private room,80,1,279,2019-07-08,2.45,2,140
25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,Joan,,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,3,2019-05-11,0.17,2,106
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38673,4.89208,Private room,150,2,195,2019-07-01,2.14,1,74
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36719,4.89092,Private room,75,2,277,2019-07-02,2.56,3,138
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36773,4.89151,Private room,55,2,428,2019-06-29,4.23,3,173
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.35132,4.84838,Entire home/apt,219,3,32,2017-10-16,0.33,1,0
38266,Nice and quiet place in the Jordaan,164204,Julian,,Centrum-West,52.37565,4.87969,Entire home/apt,145,3,199,2019-05-19,1.82,1,131
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum-West,52.37891,4.88321,Entire home/apt,180,4,85,2019-06-23,0.81,1,0
42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781,4.89001,Private room,159,3,450,2019-07-01,4.18,2,110
43109,Oasis in the middle of Amsterdam,188098,Aukje,,Centrum-West,52.37537,4.88932,Entire home/apt,210,13,690,2019-07-06,10.02,1,0
43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.35746,4.86124,Entire home/apt,100,30,61,2018-02-18,0.58,1,182
44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,,Centrum-Oost,52.37017,4.91438,Entire home/apt,240,4,35,2019-05-12,0.33,1,1
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247,4.90825,Entire home/apt,150,3,3,2018-01-03,0.03,1,0
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36799,4.87447,Entire home/apt,140,2,182,2019-06-19,1.69,1,37
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.38042,4.89453,Entire home/apt,350,5,182,2019-06-29,1.92,2,146
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.37925,4.89023,Entire home/apt,220,3,327,2019-06-30,3.09,1,242
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.38201,4.87865,Entire home/apt,125,1,97,2019-06-20,1.19,1,0
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36841,4.88413,Private room,115,2,249,2019-06-24,2.40,1,223
50570,Bright Apartment - residential area,232321,Evert,,Bos en Lommer,52.37774,4.84891,Entire home/apt,90,4,157,2019-03-26,1.56,2,0
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,72,3,90,2019-06-24,0.85,1,12
53067,Green studio at the attic of a townhouse,246493,DoJo,,De Pijp - Rivierenbuurt,52.35339,4.90064,Private room,87,5,345,2019-06-29,3.28,3,2
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905,4.88559,Private room,75,3,291,2019-07-02,2.90,1,267
53692,Large quiet Studio with gardenview in hip area.,246493,DoJo,,De Pijp - Rivierenbuurt,52.35348,4.90049,Private room,60,1,276,2019-07-06,2.80,3,10
55256,Luminous central room,260785,Lotte,,Centrum-Oost,52.37126,4.90351,Private room,86,1,161,2019-06-22,1.58,1,137
